,state,date,hybrid,inperson,virtual
0,california,2021-01-01,8.024958194455504,3.9001099991692323,88.07493180637526
1,california,2020-10-01,7.084996447694586,2.2720448903852657,90.64295866192015
2,california,2020-11-01,11.395454496880832,3.270292695487969,85.33425280763119
3,california,2020-12-01,10.163540488525587,3.159673112064291,86.67678639941012
10,california,2020-09-01,2.622208096498609,1.244444459765186,96.1333474437362
0,california,2020-01-01,0.0,0.0,0.0
1,california,2020-01-10,0.0,0.0,0.0
2,california,2020-01-11,0.0,100.0,0.0
3,california,2020-02-13,0.0,100.0,0.0
4,california,2020-02-14,0.0,0.0,0.0
5,california,2020-02-17,0.0,0.0,0.0
6,california,2020-02-18,0.0,100.0,0.0
7,california,2020-03-10,0.0,100.0,0.0
8,california,2020-03-19,0.0,0.0,100.0
9,california,2020-03-27,0.0,0.0,100.0
10,california,2020-03-30,0.0,0.0,0.0
11,california,2020-04-03,0.0,0.0,0.0
12,california,2020-04-06,0.0,0.0,100.0
13,california,2020-05-22,0.0,0.0,100.0
14,california,2020-05-25,0.0,0.0,0.0
15,california,2020-05-26,0.0,0.0,100.0
16,california,2020-06-11,0.0,0.0,100.0
17,california,2020-06-12,0.0,0.0,0.0
18,california,2020-08-11,0.0,0.0,0.0
19,california,2020-08-12,1.253411,0.565927,98.180662
20,california,2020-09-06,2.6222,1.2444,96.1333
21,california,2020-09-07,0.0,0.0,0.0
22,california,2020-09-24,0.0,0.0,0.0
23,california,2020-09-27,2.6222,1.2444,96.1333
24,california,2020-10-16,0.0,0.0,0.0
25,california,2020-10-17,7.084996,2.272045,90.642959
26,california,2020-11-11,0.0,0.0,0.0
27,california,2020-11-12,11.395454,3.270293,85.334253
28,california,2020-11-25,0.0,0.0,0.0
29,california,2020-11-27,0.0,0.0,0.0
30,california,2020-11-30,11.395454,3.270293,85.334253
31,california,2020-12-21,0.0,0.0,0.0
4,connecticut,2020-11-16,45.45008555154104,35.227731969334144,19.322182479124823
5,connecticut,2020-11-30,23.693655111679444,30.25307573372259,46.05326915459797
6,connecticut,2020-12-14,33.081805770858594,32.92980350288824,33.988390726253165
7,connecticut,2020-12-07,33.181934248966044,35.18229213790386,31.6357736131301
0,connecticut,2020-01-01,0.0,0.0,0.0
1,connecticut,2020-01-02,0.0,100.0,0.0
2,connecticut,2020-01-17,0.0,100.0,0.0
3,connecticut,2020-01-20,0.0,0.0,0.0
4,connecticut,2020-01-21,0.0,100.0,0.0
5,connecticut,2020-02-13,0.0,100.0,0.0
6,connecticut,2020-02-17,0.0,0.0,0.0
7,connecticut,2020-02-18,0.0,0.0,0.0
8,connecticut,2020-02-19,0.0,100.0,0.0
9,connecticut,2020-03-03,0.0,100.0,0.0
10,connecticut,2020-03-04,0.0,0.0,0.0
11,connecticut,2020-03-05,0.0,100.0,0.0
12,connecticut,2020-03-17,0.0,0.0,100.0
13,connecticut,2020-04-09,0.0,0.0,100.0
14,connecticut,2020-04-10,0.0,0.0,0.0
15,connecticut,2020-04-17,0.0,0.0,0.0
16,connecticut,2020-04-20,0.0,0.0,100.0
17,connecticut,2020-05-19,0.0,0.0,100.0
18,connecticut,2020-05-20,0.0,0.0,0.0
19,connecticut,2020-05-21,0.0,0.0,100.0
20,connecticut,2020-05-22,0.0,0.0,100.0
21,connecticut,2020-05-25,0.0,0.0,0.0
22,connecticut,2020-05-26,0.0,0.0,100.0
23,connecticut,2020-06-05,0.0,0.0,100.0
24,connecticut,2020-06-08,0.0,0.0,0.0
25,connecticut,2020-08-31,0.0,0.0,0.0
26,connecticut,2020-09-01,0.0,0.0,100.0
27,connecticut,2020-09-04,0.0,0.0,100.0
28,connecticut,2020-09-07,0.0,0.0,0.0
29,connecticut,2020-09-08,0.0,0.0,100.0
30,connecticut,2020-09-27,0.0,0.0,100.0
31,connecticut,2020-09-28,0.0,0.0,0.0
32,connecticut,2020-09-29,0.0,0.0,100.0
33,connecticut,2020-11-10,0.0,0.0,100.0
34,connecticut,2020-11-11,0.0,0.0,0.0
35,connecticut,2020-11-12,0.0,0.0,100.0
36,connecticut,2020-11-26,0.0,0.0,0.0
37,connecticut,2020-11-27,0.0,0.0,0.0
38,connecticut,2020-11-30,23.693655,30.253076,46.053269
39,connecticut,2020-12-24,0.0,0.0,0.0
0,illinois,2021-01-01,44.40590791356908,17.22157029545172,38.3725217909792
1,illinois,2020-10-01,30.78659518688347,19.59039977045171,49.62300504266482
2,illinois,2020-11-01,34.58402685541675,16.356305026423893,49.05966811815935
3,illinois,2020-12-01,17.57981160881851,14.897867838998119,67.52232055218337
10,illinois,2020-09-01,19.224777094693422,18.714574728618743,62.06064817668783
0,illinois,2020-01-01,0.0,0.0,0.0
1,illinois,2020-01-03,0.0,0.0,0.0
2,illinois,2020-01-06,0.0,100.0,0.0
3,illinois,2020-01-17,0.0,100.0,0.0
4,illinois,2020-01-20,0.0,0.0,0.0
5,illinois,2020-01-21,0.0,100.0,0.0
6,illinois,2020-01-30,0.0,100.0,0.0
7,illinois,2020-01-31,0.0,0.0,0.0
8,illinois,2020-02-01,0.0,100.0,0.0
9,illinois,2020-02-13,0.0,100.0,0.0
10,illinois,2020-02-17,0.0,0.0,0.0
11,illinois,2020-02-18,0.0,100.0,0.0
12,illinois,2020-03-16,0.0,100.0,0.0
13,illinois,2020-03-17,0.0,0.0,100.0
14,illinois,2020-04-03,0.0,0.0,100.0
15,illinois,2020-04-04,0.0,0.0,0.0
16,illinois,2020-04-10,0.0,0.0,0.0
17,illinois,2020-04-13,0.0,0.0,100.0
18,illinois,2020-04-16,0.0,0.0,100.0
19,illinois,2020-04-17,0.0,0.0,0.0
20,illinois,2020-04-20,0.0,0.0,100.0
21,illinois,2020-05-24,0.0,0.0,100.0
22,illinois,2020-05-25,0.0,0.0,0.0
23,illinois,2020-05-26,0.0,0.0,100.0
24,illinois,2020-06-16,0.0,0.0,100.0
25,illinois,2020-06-17,0.0,0.0,0.0
26,illinois,2020-08-23,0.0,0.0,0.0
27,illinois,2020-08-23,19.224777,18.714575,62.06064
28,illinois,2020-09-06,19.224777,18.714575,62.06064
29,illinois,2020-09-07,0.0,0.0,0.0
30,illinois,2020-09-08,19.224777,18.714575,62.06064
31,illinois,2020-10-11,30.786595,19.5904,49.623005
32,illinois,2020-10-12,0.0,0.0,0.0
33,illinois,2020-10-13,30.786595,19.5904,49.623005
34,illinois,2020-11-02,34.584027,16.356305,49.059668
35,illinois,2020-11-03,0.0,0.0,0.0
36,illinois,2020-11-04,34.584027,16.356305,49.059668
37,illinois,2020-11-10,34.584027,16.356305,49.059668
38,illinois,2020-11-11,0.0,0.0,0.0
39,illinois,2020-11-12,34.584027,16.356305,49.059668
40,illinois,2020-11-24,34.584027,16.356305,49.059668
41,illinois,2020-11-25,0.0,0.0,0.0
42,illinois,2020-11-27,0.0,0.0,0.0
43,illinois,2020-11-30,34.584027,16.356305,49.059668
44,illinois,2020-12-18,17.579812,14.897868,67.522321
45,illinois,2020-12-21,0.0,0.0,0.0
46,illinois,2020-12-21,0.0,0.0,0.0
4,indiana,2020-10-12,7.286385552755234,82.48168361504699,10.231930832197785
5,indiana,2020-10-19,9.219360556458218,81.51495212901666,9.265687314525117
6,indiana,2020-10-26,6.850599240822581,78.59308485531062,14.556315903866798
7,indiana,2020-10-05,10.588487659095087,73.32879019148322,16.0827221494217
8,indiana,2020-11-16,6.092515769085638,51.54487449141635,42.36260973949801
9,indiana,2020-11-02,12.494217095836758,71.83051936093857,15.675263543224682
10,indiana,2020-11-23,6.799205950708775,53.80912732965969,39.39166671963154
11,indiana,2020-11-30,8.816965840122991,56.15665225705884,35.02638190281818
12,indiana,2020-11-09,11.097137198021061,60.47335048180786,28.429512320171074
13,indiana,2020-12-14,3.3511068023913397,62.25669198039533,34.392201217213334
14,indiana,2020-12-21,0.0,0.0,0.0
15,indiana,2020-12-28,7.682639383116671,60.53885881807557,31.778501798807756
16,indiana,2020-12-07,7.913258927160214,54.923222988520784,37.163518084319
38,indiana,2020-07-13,0.0,0.0,0.0
39,indiana,2020-07-20,0.0,0.0,0.0
40,indiana,2020-07-27,7.45887521029722,75.57714903730606,16.96397575239672
41,indiana,2020-07-06,0.0,0.0,0.0
42,indiana,2020-08-10,11.007224726322024,68.7544545545117,20.23832071916627
43,indiana,2020-08-17,10.685192414109652,69.33203069703197,19.982776888858382
44,indiana,2020-08-24,11.98023847073446,69.02057971608163,18.99918181318391
45,indiana,2020-08-03,9.384350647215493,73.22878875894648,17.386860593838026
46,indiana,2020-08-31,7.643757489181846,69.27055502667996,23.08568748413819
47,indiana,2020-09-14,13.016512790253723,73.72910954149457,13.25437766825171
48,indiana,2020-09-21,11.385557280831131,75.63137156524785,12.983071153921014
49,indiana,2020-09-28,9.882266201103976,75.92243996654024,14.195293832355791
50,indiana,2020-09-07,13.407953099416961,72.00750203323126,14.584544867351779
0,indiana,2020-01-01,0.0,0.0,0.0
1,indiana,2020-01-03,0.0,0.0,0.0
2,indiana,2020-01-06,0.0,100.0,0.0
3,indiana,2020-01-17,0.0,100.0,0.0
4,indiana,2020-01-20,0.0,0.0,0.0
5,indiana,2020-01-21,0.0,100.0,0.0
6,indiana,2020-03-19,0.0,100.0,0.0
7,indiana,2020-03-20,0.0,0.0,100.0
8,indiana,2020-03-26,0.0,0.0,100.0
9,indiana,2020-03-27,0.0,0.0,0.0
10,indiana,2020-04-03,0.0,0.0,0.0
11,indiana,2020-04-06,0.0,0.0,100.0
12,indiana,2020-05-22,0.0,0.0,100.0
13,indiana,2020-05-25,0.0,0.0,0.0
14,indiana,2020-08-09,0.0,0.0,0.0
15,indiana,2020-09-06,13.407953,72.007502,14.584545
16,indiana,2020-09-07,0.0,0.0,0.0
17,indiana,2020-09-08,13.407953,72.007502,14.584545
18,indiana,2020-10-13,7.2864,82.4817,10.2319
19,indiana,2020-10-14,0.0,0.0,0.0
20,indiana,2020-10-16,0.0,0.0,0.0
21,indiana,2020-11-23,0.0,0.0,0.0
22,indiana,2020-11-27,0.0,0.0,0.0
23,indiana,2020-11-28,6.7992,53.8091,39.3917
24,indiana,2020-12-21,0.0,0.0,0.0
2,massachusetts,2020-10-01,60.7222384418592,12.171614205762864,27.106147352377935
3,massachusetts,2020-10-15,64.19500011509865,6.273336249165534,29.53166363573583
4,massachusetts,2020-10-30,64.19783023304862,3.9235810741462984,31.878588692805078
5,massachusetts,2020-11-12,63.79146416974665,3.572931035066132,32.63560479518722
6,massachusetts,2020-12-04,62.528968060740496,4.147054049667262,33.323977889592236
0,massachusetts,2020-01-01,0.0,0.0,0.0
1,massachusetts,2020-01-04,0.0,100.0,0.0
2,massachusetts,2020-01-17,0.0,100.0,0.0
3,massachusetts,2020-01-20,0.0,0.0,0.0
4,massachusetts,2020-01-21,0.0,100.0,0.0
5,massachusetts,2020-02-14,0.0,100.0,0.0
6,massachusetts,2020-02-17,0.0,0.0,0.0
7,massachusetts,2020-02-21,0.0,0.0,0.0
8,massachusetts,2020-02-24,0.0,100.0,0.0
9,massachusetts,2020-03-17,0.0,0.0,100.0
10,massachusetts,2020-04-09,0.0,0.0,100.0
11,massachusetts,2020-04-10,0.0,0.0,0.0
12,massachusetts,2020-04-11,0.0,0.0,100.0
13,massachusetts,2020-04-19,0.0,0.0,100.0
14,massachusetts,2020-04-20,0.0,0.0,0.0
15,massachusetts,2020-04-24,0.0,0.0,0.0
16,massachusetts,2020-04-27,0.0,0.0,100.0
17,massachusetts,2020-05-24,0.0,0.0,100.0
18,massachusetts,2020-05-25,0.0,0.0,0.0
19,massachusetts,2020-05-26,0.0,0.0,100.0
20,massachusetts,2020-06-18,0.0,0.0,100.0
21,massachusetts,2020-06-19,0.0,0.0,0.0
22,massachusetts,2020-08-30,0.0,0.0,0.0
23,massachusetts,2020-09-01,0.0,0.0,100.0
24,massachusetts,2020-09-04,0.0,0.0,100.0
25,massachusetts,2020-09-07,0.0,0.0,0.0
26,massachusetts,2020-09-08,0.0,0.0,0.0
27,massachusetts,2020-09-09,0.0,0.0,100.0
28,massachusetts,2020-10-12,0.0,0.0,0.0
29,massachusetts,2020-10-13,60.722238,12.171614,27.106147
30,massachusetts,2020-11-10,64.19783,3.923581,31.878589
31,massachusetts,2020-11-11,0.0,0.0,0.0
32,massachusetts,2020-11-24,63.791464,3.572931,32.635605
33,massachusetts,2020-11-25,0.0,0.0,0.0
34,massachusetts,2020-11-27,0.0,0.0,0.0
35,massachusetts,2020-11-28,63.791464,3.572931,32.635605
36,massachusetts,2020-12-24,0.0,0.0,0.0
37,massachusetts,2020-12-31,0.0,0.0,0.0
0,missouri,2021-01-01,62.38575056738984,10.707569195942508,26.906680236667647
21,missouri,2020-10-01,68.86639643112079,9.811273736342178,21.322329832537026
22,missouri,2020-10-12,72.04110126613233,9.74140531023328,18.217493423634394
23,missouri,2020-10-13,72.20505917273454,9.533779637313,18.261161189952453
24,missouri,2020-10-14,72.70822828809547,9.549500033187503,17.742271678717028
25,missouri,2020-10-15,72.96848817535113,9.549500033187503,17.482011791461378
26,missouri,2020-10-16,72.96848817535113,9.549500033187503,17.482011791461378
27,missouri,2020-10-19,78.18509776339523,9.578961219530088,12.23594101707468
28,missouri,2020-10-02,68.77486879291813,9.811273736342178,21.413857470739686
29,missouri,2020-10-20,78.18509776339523,9.552993454492947,12.26190878211182
30,missouri,2020-10-21,78.18509776339523,9.40929739146231,12.405604845142456
31,missouri,2020-10-22,80.07666895291683,9.379137520858636,10.54419352622453
32,missouri,2020-10-23,80.07666895291683,9.379137520858636,10.54419352622453
33,missouri,2020-10-26,80.40144068694637,9.101177632322067,10.497381680731568
34,missouri,2020-10-27,80.13547487822515,9.101177632322067,10.76334748945278
35,missouri,2020-10-28,80.0028413159951,9.019897363282046,10.977261320722858
36,missouri,2020-10-29,79.57873996951407,8.969708543860486,11.451551486625435
37,missouri,2020-10-30,79.51865312306042,8.965982227801346,11.515364649138231
38,missouri,2020-10-05,69.39739646954844,9.811273736342178,20.79132979410939
39,missouri,2020-10-06,69.49754121363785,9.811273736342178,20.69118505001997
40,missouri,2020-10-07,70.7040524851617,9.851215186601099,19.444732328237208
41,missouri,2020-10-08,70.70300445877005,9.851215186601099,19.44578035462884
42,missouri,2020-10-09,70.59296168764855,9.776106628534032,19.630931683817423
43,missouri,2020-11-10,76.82930095475204,8.146076247413413,15.024622797834544
44,missouri,2020-11-11,77.1239128181779,8.173324933595884,14.702762248226215
45,missouri,2020-11-12,74.86658041797621,8.171927565073705,16.961492016950082
46,missouri,2020-11-13,74.85819620684315,8.078070979334084,17.063732813822767
47,missouri,2020-11-16,67.45458843421363,8.251111781330458,24.294299784455905
48,missouri,2020-11-17,67.50908580657857,8.265900598190175,24.225013595231246
49,missouri,2020-11-18,66.99671620711433,8.143759744754437,24.85952404813122
50,missouri,2020-11-19,66.95861115837018,8.108218338433428,24.933170503196393
51,missouri,2020-11-02,76.90382727593487,9.028630916545659,14.067541807519474
52,missouri,2020-11-20,66.70784031770522,7.468123437052091,25.82403624524269
53,missouri,2020-11-23,60.56174066659364,7.145570608538794,32.29268872486756
